phrase,count,phrase_en
kwa ajili ya,2780,for
dar es salaam,2711,S Salam House
kwenye uwanja wa,1040,On the field of
jijini dar es,938,In Dar es
ni pamoja na,895,is together with
umri wa miaka,769,Age
kwa mujibu wa,764,According to
rais john magufuli,605,President John Magufuli
waandishi wa habari,590,Press
mkuu wa mkoa,579,Regional Commissioner
mwenye umri wa,549,The age of
katika mchezo wa,520,In the game of
timu ya taifa,509,National team
dola za marekani,504,US dollars
wa zamani wa,485,the former of
katika kipindi cha,465,In the period of
uwanja wa taifa,450,National Stadium
kwa lengo la,447,For the purpose of
kwa kushirikiana na,421,in conjunction with
na waandishi wa,403,And the authors of
ya sh bilioni,385,of Shillings
wa wilaya ya,377,of the district
ikiwa ni pamoja,375,if included
kiungo wa kati,372,Central link
ya sh milioni,354,of Shs million
” alisema.alisema,354,"""He said"
mara ya kwanza,354,The first time
kwa upande wa,346,In terms of
naibu waziri wa,339,Deputy Minister of
ligi ya mabingwa,337,Champions League
mkuu wa wilaya,332,district Commissioner
wa timu hiyo,325,of the team
ya wilaya ya,323,of the district of
na kuongeza kuwa,319,and add that
katika uwanja wa,318,In the field of
na gazeti hili,317,And this magazine
katika dakika ya,317,in the minute of
vyombo vya habari,316,Press
es salaam na,313,S Salam Na
wa kimataifa wa,313,International of
jeshi la polisi,312,Police Force
sawa na asilimia,304,equal to a percentage
mwishoni mwa wiki,303,on the weekend
na waziri wa,294,And the Minister of
shirikisho la soka,294,Football Federation
ndani na nje,289,in and out
moja kwa moja,288,one by one
ya maendeleo ya,283,of the development of
chuo kikuu cha,277,University of
ya afrika mashariki,274,of East Africa
ikiwa na pointi,273,if have points
mwaka wa fedha,267,the financial year
katibu mkuu wa,264,The Secretary -General of
katika sekta ya,262,In the industry
na kampuni ya,262,and company
halmashauri ya wilaya,257,District Council
katika eneo la,256,In the area of
serikali za mitaa,256,Local Government
kombe la shirikisho,255,Federal Cup
 rais magufuli,254,President Magufuli
ni miongoni mwa,251,are among
wa kampuni ya,248,of the company
ligi kuu tanzania,247,Premier League in Tanzania
kwa kiasi kikubwa,243,to a large extent
na baadhi ya,243,And some
serikali ya awamu,242,Phase government
ya ujenzi wa,241,of the construction of
katika mchezo huo,241,In that game
awamu ya tano,240,Phase five
jumuiya ya afrika,237,African Community
wa chama cha,237,of the party
ya serikali ya,227,of the government of
nafasi ya pili,226,Second place
wa kamati ya,225,of the committee
ni sehemu ya,224,It's part of
wa baraza la,222,of the Council
mkurugenzi mkuu wa,222,Director General of
makamu wa rais,222,Vice President
mkurugenzi mtendaji wa,220,CEO of
dar es salaam.,217,S Salam House.
waziri wa nchi,212,Minister of State
ya kwanza ya,210,The first of
kwa muda mrefu,208,for a long time
 'mshambuliaji wa,208,'The attacker of
za marekani milioni,207,US million
thamani ya sh,207,Value of Shs
kuu tanzania bara,205,Mainland Tanzania
wa klabu hiyo,201,of the club
katika mechi ya,199,In the match
msimamo wa ligi,199,League position
es salaam jana,196,S peace heaven
kwa upande wake,196,In turn
ya hakimu mkazi,196,of the Resident Magistrate
 'manchester united,195,'manchester united
na serikali ya,193,and the government of
na maendeleo ya,192,and the development of
kipindi cha miaka,191,A period of years
kwa niaba ya,189,on behalf of
maendeleo ya jamii,188,Community Development
wa manchester united,187,wa manchester united
